company_list,company_rank,company_score,end_date,start_date,year
"Facebook,Bain & Company,Boston Consulting Group,In-N-Out Burger,Google,lululemon,HubSpot,World Wide Technology,St. Jude Children's Research Hospital,Ultimate Software,SAP,McKinsey & Company,Keller Williams,E. & J. Gallo Winery,Salesforce,Power Home Remodeling,Delta Air Lines,Academy Mortgage,The Church of Jesus Christ of Latter-day Saints,H E B,LinkedIn,DocuSign,Southwest Airlines,NVIDIA,Fast Enterprises,AvalonBay Communities,Nestlé Purina U.S.,Blizzard Entertainment,Paylocity,Intuit,Adobe,NewYork-Presbyterian Hospital,VMware,SAP Concur,Boston Scientific,Forrester,Kimpton Hotels & Restaurants,Johnson & Johnson,Microsoft,Ellie Mae,Hilton,Yardi Systems,Smile Brands,Progressive Leasing,Memorial Sloan Kettering,Texas Health Resources,Protiviti,Oshkosh Corporation,Wegmans Food Markets,SpaceX,Discount Tire,Eli Lilly and Company,NIKE,United Airlines,Electronic Arts,Zillow,Capital Group,Roche,3M,REI,Procter & Gamble,Kronos Incorporated,Kwik Trip,Yahoo,Arm,Northwestern Mutual,Guidewire,Capital One,Trader Joe's,Hyatt,Chick-fil-A,Extra Space Storage,Slalom,J. Crew,Stryker,Deloitte,Toyota North America,T-Mobile,Travelers,CDW,Accenture,Apple,Darden,QuikTrip,Taylor Morrison,Insperity,Cisco Systems,Massachusetts General Hospital,Kaiser Permanente,Ceridian,adidas,Morrison Healthcare,Shell,Starbucks,Liberty National,Walt Disney Company,KPMG,BAYADA Home Health Care","#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#78,#79,#80,#81,#83,#84,#85,#86,#87,#88,#89,#90,#91,#92,#93,#94,#95,#96,#97,#98,#99,#100","4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2",10/22/17,11/1/16,
"Bain & Company,Facebook,Boston Consulting Group,Google,World Wide Technology,Fast Enterprises,In-N-Out Burger,LinkedIn,Adobe,Power Home Remodeling,McKinsey & Company,The Clorox Company,Nestlé Purina U.S.,Paylocity,SAP,MathWorks,Salesforce,Forrester,The Church of Jesus Christ of Latter-day Saints,Intuit,Delta Air Lines,Memorial Sloan Kettering,DocuSign,SAP Concur,Akamai,Johnson & Johnson,H E B,Southwest Airlines,Zillow,NVIDIA,Keller Williams,Genentech,Trader Joe's,Costco Wholesale,Airbnb,Apple,Microsoft,lululemon,FedEx Freight,SpaceX,BASF,Texas Instruments,Raising Cane's,Mayo Clinic,IKEA,Aegis Living,E. & J. Gallo Winery,QuikTrip,Gensler,Wegmans Food Markets","#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50","4.6,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2",10/30/16,11/2/15,
"Airbnb,Bain & Company,Guidewire,HubSpot,Facebook,LinkedIn,Boston Consulting Group,Google,Nestlé Purina U.S.,Zillow,Eastman,World Wide Technology,In-N-Out Burger,MINDBODY,Power Home Remodeling,Expedia Group,H E B,Riot Games,Adobe,Memorial Sloan Kettering,Delta Air Lines,The Church of Jesus Christ of Latter-day Saints,Protiviti,QuikTrip,Apple,Twitter,Vivint Solar,Paycom,Wegmans Food Markets,Slalom,Akamai,Salesforce,F5 Networks,Genentech,Workday,Turner Construction,Red Hat,Gensler,Chevron,Costco Wholesale,GE Aviation,Southwest Airlines,Stryker,Gartner,REI,Red Bull,NIKE,Total Quality Logistics,SAP Concur,SolarCity","#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50","4.6,4.6,4.5,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9",10/31/15,11/2/14,2016
"Google,Bain & Company,Nestlé Purina U.S.,F5 Networks,Boston Consulting Group,Chevron,H E B,In-N-Out Burger,McKinsey & Company,Mayo Clinic,Procter & Gamble,Brigham and Women's Hospital,Facebook,Qualcomm,Southwest Airlines,Slalom,Genentech,Adobe,MathWorks,Stryker,QuikTrip,Apple,LinkedIn,Gartner,NIKE,Roche,Rockwell Automation,Massachusetts General Hospital,Costco Wholesale,Eastman,NBCUniversal,Wegmans Food Markets,Zillow,MINDBODY,Ford Motor Company,NVIDIA,Toyota Motor Sales,Turner Construction,Bristol-Myers Squibb,Memorial Sloan Kettering,Orbitz Worldwide,Edelman,Genesys,Bose,GE Aviation,ESPN,EY,Disney Parks & Resorts","#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#40,#41,#42,#43,#45,#46,#47,#48,#49,#50","4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8",,,2015
"Bain & Company,Twitter,LinkedIn,Eastman,Facebook,Guidewire,Google,Orbitz Worldwide,Nestlé Purina U.S.,John Deere,Edelman,Qualcomm,Chevron,Slalom,Costco Wholesale,Riverbed Technology,SolarCity,Intuit,Gartner,Southwest Airlines,MathWorks,Red Hat,Cameron,Genentech,Hyatt,H E B,National Instruments,NIKE,Rackspace,Mayo Clinic,Publix,Intel Corporation,Procter & Gamble,Apple,FedEx,CareerBuilder,Citrix,Starbucks,Wegmans Food Markets,NetApp,Walt Disney Company,Chick-fil-A,NBCUniversal,Texas Instruments,Memorial Sloan Kettering,Texas Roadhouse,Stryker,eBay,Salesforce","#1,#2,#3,#4,#5,#6,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50","4.6,4.6,4.6,4.5,4.5,4.5,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8",,,2014
"Facebook,McKinsey & Company,Riverbed Technology,Bain & Company,MD Anderson Cancer Center,Google,Edelman,National Instruments,In-N-Out Burger,Boston Consulting Group,CareerBuilder,Southwest Airlines,Chevron,LinkedIn,Rackspace,Gartner,Akamai,Shell,Workday,Cummins,REI,Salesforce,Citrix,Trader Joe's,Slalom,Orbitz Worldwide,MITRE,JetBlue,Mastercard,Agilent Technologies,Intel Corporation,Hyatt,Red Hat,Apple,General Mills,MathWorks,Fluor,Qualcomm,Digitas,Biogen,Northwestern Mutual,SAP,IKEA,Dow,Boeing Commercial Airplanes,Costco Wholesale,Intermountain Healthcare,Turner Broadcasting,Eaton,Starbucks","#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50","4.7,4.5,4.5,4.5,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8",,,2013
"Bain & Company,McKinsey & Company,Facebook,MITRE,Google,CareerBuilder,Slalom,REI,Trader Joe's,Apple,General Mills,Rackspace,Salesforce,United Space Alliance,Dow,Chevron,Southwest Airlines,National Instruments,Wayfair,Citrix,Qualcomm,SAP America,Costco Wholesale,J. Crew,Procter & Gamble,Fluor,ReachLocal,Johnson & Johnson,NetApp,Morningstar,Intel Corporation,Disney Parks & Resorts,Starbucks,NIKE,Cleveland Clinic,Coach,EY,Sephora,Groupon,Goldman Sachs,Intuit,Accenture,Nordstrom,PwC,Eli Lilly and Company,Viacom Media Networks,NVIDIA,FedEx","#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#49,#50","4.7,4.3,4.3,4.1,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5",,,2012
"Facebook,Southwest Airlines,Bain & Company,General Mills,Edelman,Boston Consulting Group,SAS Institute,Slalom,Overstock.com,Susquehanna International Group,CareerBuilder,MITRE,QuikTrip,Shutterfly,NetApp,Trader Joe's,Goldman Sachs,McKinsey & Company,National Instruments,Apple,Analog Devices,Northwestern Mutual,Procter & Gamble,BB&T,Synopsys,Chevron,Bristol-Myers Squibb,MassMutual,Google,Travelers,Fluor,Publix,John Deere,Qualcomm,Morgan Stanley,State Farm,Adobe,REI,Salesforce,Ford Motor Company,Turner Broadcasting,Genentech,Intel Corporation,American Express,NIKE,Deutsche Bank,Cummins,Capital One","#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#28,#29,#30,#31,#32,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50","4.6,4.4,4.3,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5",,,2011
"Southwest Airlines,General Mills,Slalom,Bain & Company,McKinsey & Company,MITRE,Boston Consulting Group,Procter & Gamble,Juniper Networks,Northwestern Mutual,Kraft Foods,National Instruments,Google,NetApp,Goldman Sachs,FactSet,Medtronic,Publix,Chevron,FedEx,Apple,Edelman,Edward Jones,Qualcomm,CareerBuilder,Schlumberger,Adobe,Booz Allen Hamilton,Sherwin-Williams,GlaxoSmithKline,Caterpillar,Turner Broadcasting,Paychex,Kaiser Permanente,Travelers,Rackspace,Intel Corporation,Cintas,SAP America,Intuit,Best Buy,Harris,Prudential,Whole Foods Market,PwC,Marriott International","#1,#2,#3,#4,#5,#6,#7,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#28,#29,#30,#32,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50","4.7,4.5,4.3,4.2,4.1,4.1,4.0,4.0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5",,,2010
"General Mills,Bain & Company,Netflix,Adobe,Northwestern Mutual,Whole Foods Market,Google,SAP,NetApp,Intuit,McKinsey & Company,FactSet,Boston Consulting Group,Procter & Gamble,Caterpillar,Genentech,CareerBuilder,Apple,Juniper Networks,Marriott International,NIKE,EY,MITRE,Chevron,Goldman Sachs,Nordstrom,Citrix,Schlumberger,Booz Allen Hamilton,National Instruments,PwC,American Express,Cisco Systems,USAA,Capital One,Qualcomm,MetLife,Lockheed Martin,Texas Instruments,US Army,Deloitte,Wells Fargo,Best Buy,Salesforce,Accenture,FedEx,Paychex","#1,#2,#3,#4,#5,#6,#7,#8,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#33,#34,#35,#36,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50","4.5,4.5,4.4,4.3,4.2,4.2,4.1,4.1,4.0,4.0,4.0,3.9,3.9,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5",,,2009
"Bain & Company,Zoom Video Communications,In-N-Out Burger,Procore Technologies,Boston Consulting Group,LinkedIn,Facebook,Google,lululemon,Southwest Airlines,Salesforce,Intuitive Surgical,St. Jude Children's Research Hospital,Slalom,Power Home Remodeling,HubSpot,DocuSign,Ultimate Software,McKinsey & Company,Paylocity,Ryan, LLC,Sammons Financial Group,Trader Joe's,Lawrence Livermore National Laboratory,Smile Brands,Fast Enterprises,SAP,Delta Air Lines,Navy Federal Credit Union,Adobe,H E B,Compass,Illumina,Microsoft,Trilogy Health Services,NVIDIA,E. & J. Gallo Winery,Intuit,NIH,TaskUs,Cengage,Blizzard Entertainment,Equity Residential,Kronos Incorporated,Nebraska Furniture Mart,Wegmans Food Markets,The Clorox Company,SpaceX,Johnson & Johnson,Crowe,VMware,Northside Hospital,Vi,ABC Supply Co.,AvalonBay Communities,Boston Scientific,Keller Williams,AppDynamics,T-Mobile,Rose International,Hilti North America,Paycom,John Deere,NewYork-Presbyterian Hospital,Oshkosh Corporation,Memorial Sloan Kettering,VIPKid,MD Anderson Cancer Center,Cisco Systems,Travelers,Apple,Omni Hotels,BAYADA Home Health Care,Aptive Environmental,Goldman Sachs,Kimpton Hotels & Restaurants,Texas Instruments,Costco Wholesale,Deloitte,Discount Tire,NetApp,Phoenix Children's Hospital,Massachusetts General Hospital,FedEx Freight,Edward Jones,HP Inc.,Accenture,Texas Health Resources,Sport Clips,Gensler,Expedia Group,BOK Financial,Chevron,EY,Raising Cane's,FLIK Hospitality Group,Kaiser Permanente,World Wide Technology,Morgan Stanley","#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#79,#80,#81,#82,#83,#84,#85,#86,#87,#88,#89,#90,#91,#92,#93,#94,#95,#96,#97,#98,#99,#100","4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2",10/21/18,10/23/17,
