beg,begyear,end,endyear,five_return,ticker
Dec-12-2008,2008,Dec-12-2013,2013,16.54%,NATI
Dec-14-2009,2009,Dec-12-2014,2014,31.19%,LUV
Dec-14-2009,2009,Dec-12-2014,2014,25.62%,MAR
Dec-14-2009,2009,Dec-12-2014,2014,5.20%,GSK
Dec-12-2008,2008,Dec-12-2013,2013,15.26%,PAYX
Dec-12-2008,2008,Dec-12-2013,2013,18.40%,CAT
Dec-12-2008,2008,Dec-12-2013,2013,42.62%,AAPL
Dec-12-2008,2008,Dec-12-2013,2013,13.62%,GIS
Dec-12-2008,2008,Dec-12-2013,2013,3.40%,JNPR
Dec-12-2008,2008,Dec-12-2013,2013,25.72%,MAR
Dec-12-2008,2008,Dec-12-2013,2013,27.26%,NKE
Dec-12-2008,2008,Dec-12-2013,2013,12.73%,CVX
Dec-12-2008,2008,Dec-12-2013,2013,21.48%,GS
Dec-12-2008,2008,Dec-12-2013,2013,39.77%,JWN
Dec-12-2008,2008,Dec-12-2013,2013,20.03%,CTXS
Dec-12-2008,2008,Dec-12-2013,2013,17.88%,SLB
Dec-12-2013,2013,Dec-12-2018,2018,22.41%,CRM
Dec-12-2013,2013,Dec-12-2018,2018,6.11%,PG
Dec-12-2013,2013,Dec-12-2018,2018,20.80%,SYK
Dec-12-2013,2013,Apr-01-2016,2016,7.46%,CAM
Dec-12-2013,2013,Dec-12-2018,2018,0.00%,EBAY
Dec-12-2013,2013,Dec-12-2018,2018,10.66%,CMCSA
Dec-12-2013,2013,Dec-12-2018,2018,11.59%,DIS
Dec-12-2013,2013,Dec-12-2018,2018,12.55%,NTAP
Dec-12-2013,2013,Dec-12-2018,2018,13.48%,SBUX
Dec-12-2013,2013,Dec-12-2018,2018,20.80%,CTXS
Dec-12-2013,2013,Dec-12-2018,2018,7.50%,FDX
Dec-12-2013,2013,Dec-12-2018,2018,18.26%,AAPL
Dec-12-2013,2013,Dec-12-2018,2018,17.77%,INTC
Dec-12-2013,2013,Dec-12-2018,2018,15.65%,NKE
Dec-12-2013,2013,Dec-12-2018,2018,12.11%,NATI
Dec-12-2013,2013,Dec-12-2018,2018,7.64%,H
Dec-12-2013,2013,Dec-12-2018,2018,30.69%,RHT
Dec-12-2013,2013,Dec-12-2018,2018,20.12%,TXRH
Dec-12-2013,2013,Dec-12-2018,2018,23.10%,LUV
Dec-12-2013,2013,Dec-12-2018,2018,16.94%,IT
Dec-12-2013,2013,Dec-12-2018,2018,24.34%,INTU
Dec-12-2013,2013,Dec-12-2018,2018,17.04%,COST
Dec-12-2013,2013,Dec-12-2018,2018,3.17%,CVX
Dec-12-2013,2013,Dec-12-2018,2018,-1.29%,QCOM
Dec-12-2013,2013,Dec-12-2018,2018,14.01%,DE
Mar-27-2014,2014,Dec-12-2018,2018,14.64%,GOOG
Dec-12-2013,2013,Dec-12-2018,2018,13.90%,GWRE
Dec-12-2013,2013,Dec-12-2018,2018,22.76%,FB
Dec-12-2013,2013,Dec-12-2018,2018,1.82%,EMN
Dec-12-2013,2013,Dec-12-2018,2018,-8.11%,TWTR
Dec-12-2013,2013,Dec-12-2018,2018,20.81%,TXN
Dec-12-2012,2012,Dec-12-2017,2017,23.08%,A
Dec-12-2012,2012,Dec-12-2017,2017,19.77%,INTC
Dec-12-2012,2012,Dec-12-2017,2017,31.79%,JBLU
Dec-12-2012,2012,Dec-12-2017,2017,13.93%,H
Dec-12-2012,2012,Dec-12-2017,2017,20.09%,RHT
Dec-12-2012,2012,Dec-12-2017,2017,19.79%,AAPL
Dec-12-2012,2012,Dec-12-2017,2017,9.73%,GIS
Dec-12-2012,2012,Dec-12-2017,2017,-1.17%,FLR
Dec-12-2012,2012,Dec-12-2017,2017,3.41%,QCOM
Dec-12-2012,2012,Dec-12-2017,2017,16.56%,BIIB
Dec-12-2012,2012,Dec-12-2017,2017,8.80%,SAP
Dec-12-2012,2012,Dec-12-2017,2017,17.05%,COST
Dec-12-2012,2012,Dec-12-2017,2017,26.64%,MA
Dec-12-2012,2012,Dec-12-2017,2017,12.70%,CTXS
Dec-12-2012,2012,Dec-12-2017,2017,45.03%,FB
Dec-12-2012,2012,Dec-12-2017,2017,12.69%,CMI
Dec-12-2012,2012,Dec-12-2017,2017,14.80%,WDAY
Dec-12-2012,2012,Dec-12-2017,2017,18.97%,SBUX
Dec-12-2012,2012,Dec-12-2017,2017,7.36%,AKAM
Dec-12-2012,2012,Dec-12-2017,2017,20.66%,IT
Dec-12-2012,2012,Dec-12-2017,2017,6.14%,CVX
Dec-12-2012,2012,Dec-12-2017,2017,45.81%,LUV
Dec-12-2012,2012,Dec-12-2017,2017,13.55%,NATI
Mar-27-2014,2014,Dec-12-2017,2017,18.23%,GOOG
Dec-12-2012,2012,Dec-12-2017,2017,19.95%,CRM
Dec-12-2011,2011,Dec-12-2016,2016,20.09%,FDX
Dec-12-2011,2011,Dec-12-2016,2016,-29.85%,GRPN
May-18-2012,2012,Dec-12-2016,2016,27.90%,FB
Dec-12-2011,2011,Dec-12-2016,2016,9.23%,PG
Dec-12-2011,2011,Dec-12-2016,2016,45.97%,NVDA
Dec-12-2011,2011,Dec-12-2016,2016,15.48%,LLY
Dec-12-2011,2011,Dec-12-2016,2016,7.75%,JWN
Dec-12-2011,2011,Dec-12-2016,2016,18.92%,ACN
Dec-12-2011,2011,Dec-12-2016,2016,18.33%,INTU
Dec-12-2011,2011,Dec-12-2016,2016,21.03%,GS
Dec-12-2011,2011,Dec-12-2016,2016,17.76%,NKE
Dec-12-2011,2011,Dec-12-2016,2016,23.45%,SBUX
Dec-12-2011,2011,Dec-12-2016,2016,12.14%,INTC
Dec-12-2011,2011,Dec-12-2016,2016,6.17%,MORN
Dec-12-2011,2011,Dec-12-2016,2016,0.73%,NTAP
Dec-12-2011,2011,Dec-12-2016,2016,16.15%,JNJ
Dec-12-2011,2011,Dec-12-2016,2016,3.66%,FLR
Dec-12-2011,2011,Dec-12-2016,2016,-6.35%,TPR
Dec-12-2011,2011,Dec-12-2016,2016,17.55%,COST
Dec-12-2011,2011,Dec-12-2016,2016,6.57%,CVX
Dec-12-2011,2011,Dec-12-2016,2016,7.17%,QCOM
Mar-27-2014,2014,Dec-12-2016,2016,13.59%,GOOG
Dec-12-2011,2011,Dec-12-2016,2016,17.33%,AAPL
Dec-12-2011,2011,Dec-12-2016,2016,13.24%,GIS
Dec-12-2011,2011,Dec-12-2016,2016,19.39%,CRM
Dec-12-2011,2011,Dec-12-2016,2016,43.43%,LUV
Dec-12-2011,2011,Dec-12-2016,2016,5.51%,NATI
Oct-02-2014,2014,Dec-12-2016,2016,0.49%,W
Dec-12-2011,2011,Dec-12-2016,2016,5.25%,CTXS
Dec-13-2010,2010,Dec-11-2015,2015,25.12%,BMY
Mar-27-2014,2014,Dec-11-2015,2015,17.79%,GOOG
Dec-13-2010,2010,Dec-11-2015,2015,6.00%,NATI
Dec-13-2010,2010,Dec-11-2015,2015,3.16%,CVX
Dec-13-2010,2010,Dec-11-2015,2015,10.98%,SNPS
Dec-13-2010,2010,Dec-11-2015,2015,9.47%,BBT
Dec-13-2010,2010,Dec-11-2015,2015,7.65%,PG
Dec-13-2010,2010,Dec-11-2015,2015,11.82%,ADI
Dec-13-2010,2010,Dec-11-2015,2015,21.50%,AAPL
Dec-13-2010,2010,Dec-11-2015,2015,28.34%,LUV
Dec-13-2010,2010,Dec-11-2015,2015,2.19%,GS
Dec-13-2010,2010,Dec-11-2015,2015,-11.39%,NTAP
Dec-13-2010,2010,Dec-11-2015,2015,4.92%,SFLY
Dec-13-2010,2010,Dec-11-2015,2015,-5.33%,OSTK
Dec-13-2010,2010,Dec-11-2015,2015,13.60%,GIS
May-18-2012,2012,Dec-11-2015,2015,31.71%,FB
Dec-13-2010,2010,Dec-11-2015,2015,1.19%,DE
Dec-13-2010,2010,Dec-11-2015,2015,13.08%,COF
Dec-13-2010,2010,Dec-11-2015,2015,17.64%,TRV
Dec-13-2010,2010,Dec-11-2015,2015,-4.99%,FLR
Dec-13-2010,2010,Dec-11-2015,2015,-13.39%,DB
Dec-13-2010,2010,Dec-11-2015,2015,1.39%,QCOM
Dec-13-2010,2010,Dec-11-2015,2015,4.64%,MS
Dec-13-2010,2010,Dec-11-2015,2015,26.89%,ADBE
Dec-13-2010,2010,Dec-11-2015,2015,16.41%,CRM
Dec-13-2010,2010,Dec-11-2015,2015,-1.42%,F
Dec-13-2010,2010,Dec-11-2015,2015,13.57%,INTC
Dec-13-2010,2010,Dec-11-2015,2015,9.69%,AXP
Dec-13-2010,2010,Dec-11-2015,2015,24.78%,NKE
Dec-13-2010,2010,Dec-11-2015,2015,-1.97%,CMI
Dec-14-2009,2009,Dec-12-2014,2014,25.75%,INTU
Dec-14-2009,2009,Dec-12-2014,2014,11.60%,QCOM
Dec-14-2009,2009,Dec-12-2014,2014,6.81%,SLB
Dec-14-2009,2009,Dec-12-2014,2014,16.28%,ADBE
Dec-14-2009,2009,Dec-12-2014,2014,14.95%,PRU
Dec-14-2009,2009,Dec-12-2014,2014,-1.59%,BBY
Dec-14-2009,2009,Dec-12-2014,2014,18.18%,TRV
Dec-14-2009,2009,Dec-12-2014,2014,21.49%,CTAS
Dec-14-2009,2009,Dec-12-2014,2014,16.56%,INTC
Nov-18-2010,2010,Dec-12-2014,2014,40.28%,BAH
Dec-14-2009,2009,Dec-12-2014,2014,14.84%,FDX
Dec-14-2009,2009,Dec-12-2014,2014,11.93%,PAYX
Dec-14-2009,2009,Dec-12-2014,2014,11.80%,CAT
Dec-14-2009,2009,Dec-12-2014,2014,32.75%,AAPL
Mar-27-2014,2014,Dec-12-2014,2014,-9.86%,GOOG
Dec-14-2009,2009,Dec-12-2014,2014,9.46%,CVX
Dec-14-2009,2009,Dec-12-2014,2014,13.14%,MDT
Dec-14-2009,2009,Dec-12-2014,2014,13.50%,FDS
Dec-14-2009,2009,Dec-12-2014,2014,3.91%,GS
Dec-14-2009,2009,Dec-12-2014,2014,4.56%,NTAP
Dec-14-2009,2009,Dec-12-2014,2014,33.61%,SHW
Dec-14-2009,2009,Dec-12-2014,2014,11.63%,NATI
Dec-14-2009,2009,Dec-12-2014,2014,-4.45%,JNPR
Dec-14-2009,2009,Dec-12-2014,2014,10.74%,PG
Dec-14-2009,2009,Dec-12-2014,2014,12.06%,GIS
Nov-18-2010,2010,Dec-12-2013,2013,32.88%,BAH
Dec-12-2008,2008,Dec-12-2013,2013,10.35%,PG
Dec-12-2008,2008,Dec-12-2013,2013,35.11%,AXP
Dec-12-2008,2008,Dec-12-2013,2013,18.50%,QCOM
Dec-12-2008,2008,Dec-12-2013,2013,13.75%,MET
Dec-12-2008,2008,Dec-12-2013,2013,16.70%,LMT
Dec-12-2008,2008,Dec-12-2013,2013,24.76%,TXN
Dec-12-2008,2008,Dec-12-2013,2013,12.58%,WFC
Dec-12-2008,2008,Dec-12-2013,2013,13.20%,BBY
Dec-12-2008,2008,Dec-12-2013,2013,44.88%,CRM
Dec-12-2008,2008,Dec-12-2013,2013,23.52%,ACN
Dec-12-2008,2008,Dec-12-2013,2013,18.06%,FDX
Dec-12-2008,2008,Dec-12-2013,2013,27.01%,FDS
Dec-12-2008,2008,Dec-12-2013,2013,27.05%,INTU
Dec-12-2008,2008,Dec-12-2013,2013,24.13%,NTAP
Dec-12-2008,2008,Dec-12-2013,2013,21.18%,SAP
Dec-12-2008,2008,Dec-12-2013,2013,19.21%,ADBE
Dec-12-2008,2008,Dec-12-2013,2013,67.27%,NFLX
